title,pubDate,guid,link,description
TV ad breaks could get longer as rules are reviewed,"Thu, 30 Jun 2022 20:55:06 GMT",https://www.bbc.co.uk/news/uk-61997064,https://www.bbc.co.uk/news/uk-61997064?at_medium=RSS&at_campaign=KARANGA,"The frequency of advertising breaks will be reviewed by Ofcom, which says it will consult viewers."
Nadine Dorries: Culture secretary confuses rugby codes in speech at Rugby League World Cup event,"Thu, 30 Jun 2022 23:09:20 GMT",https://www.bbc.co.uk/sport/rugby-league/61999786,https://www.bbc.co.uk/sport/rugby-league/61999786?at_medium=RSS&at_campaign=KARANGA,Culture secretary Nadine Dorries confuses the two rugby codes in a speech at a Rugby League World Cup event in St Helens.
Lewis Hamilton: 'Older voices' should be refused platform to make offensive comments,"Thu, 30 Jun 2022 15:11:23 GMT",https://www.bbc.co.uk/sport/formula1/61999788,https://www.bbc.co.uk/sport/formula1/61999788?at_medium=RSS&at_campaign=KARANGA,"Lewis Hamilton has called for ""older voices"" with offensive views to be refused a platform on which to make offensive comments."
"Logan Mwangi murder: Mum, stepdad and teen sentenced","Thu, 30 Jun 2022 16:30:48 GMT",https://www.bbc.co.uk/news/uk-wales-61952430,https://www.bbc.co.uk/news/uk-wales-61952430?at_medium=RSS&at_campaign=KARANGA,"A judge says the attack on the ""defenceless"" Logan Mwangi was ""nothing short of horrifying""."
"Missing homing pigeon Bob found 4,000 miles away in Alabama","Thu, 30 Jun 2022 23:36:28 GMT",https://www.bbc.co.uk/news/uk-england-tyne-61994590,https://www.bbc.co.uk/news/uk-england-tyne-61994590?at_medium=RSS&at_campaign=KARANGA,The bird was racing home to Gateshead but was found by a puzzled resident at his home in Alabama.
Europe heatwave breaks multiple June records,"Thu, 30 Jun 2022 15:40:12 GMT",https://www.bbc.co.uk/weather/features/62001812,https://www.bbc.co.uk/weather/features/62001812?at_medium=RSS&at_campaign=KARANGA,An oppressive heatwave has broken temperature records from the Arctic Circle to North Africa.
Missing Cryptoqueen: FBI adds Ruja Ignatova to top ten most wanted,"Thu, 30 Jun 2022 23:03:54 GMT",https://www.bbc.co.uk/news/world-us-canada-62005066,https://www.bbc.co.uk/news/world-us-canada-62005066?at_medium=RSS&at_campaign=KARANGA,Ruja Ignatova is accused of defrauding victims out of $4bn (£3.2bn) through a cryptocurrency scam.
"Policeman killed son and then himself in Kidderminster, inquest finds","Thu, 30 Jun 2022 15:06:15 GMT",https://www.bbc.co.uk/news/uk-england-hereford-worcester-61999483,https://www.bbc.co.uk/news/uk-england-hereford-worcester-61999483?at_medium=RSS&at_campaign=KARANGA,"Three-year-old Harrison's father had struggled during the first Covid lockdown, the coroner heard."
Help 999 teams find missing heart defibrillators,"Thu, 30 Jun 2022 23:59:05 GMT",https://www.bbc.co.uk/news/health-61992745,https://www.bbc.co.uk/news/health-61992745?at_medium=RSS&at_campaign=KARANGA,"About 70,000 of the life-saving devices are in UK community locations unknown by the emergency services."
The Papers: 'Drunken' Tory whip quits and No 10 'plans VAT cut',"Thu, 30 Jun 2022 22:54:23 GMT",https://www.bbc.co.uk/news/blogs-the-papers-62004696,https://www.bbc.co.uk/news/blogs-the-papers-62004696?at_medium=RSS&at_campaign=KARANGA,Government whip Chris Pincher's resignation and a possible tax cut make Friday's front pages.
